Course Mnemonic,Course Title,Instructor,Room,Day(s) of the week,Start time,End time
DS 6030,Machine Learning II: Data Mining & Statistical Learning,Michael Porter,TBA,TuTh,09:30 AM,10:45 AM
DS 6030,Machine Learning II: Data Mining & Statistical Learning,Michael Porter,TBA,TuTh,11:00 AM,12:15 PM
DS 6050,Machine Learning III: Deep Learning,Tom Hartvigsen,TBA,MoWeFr,10:00 AM,10:50 AM
DS 6050,Machine Learning III: Deep Learning,Tom Hartvigsen,TBA,MoWeFr,11:00 AM,11:50 AM
DS 6050,Machine Learning III: Deep Learning,Heman Shakeri,TBA,We,07:15 PM,08:15 PM
DS 6210,Computation II: Numerical Analysis & Optimization,Heman Shakeri,TBA,MoWe,12:30 PM,01:45 PM
DS 6310,Theory II: Inference & Prediction,Jordan Bryan; Thomas Stewart,TBA,TuTh,09:30 AM,10:45 AM
DS 6404,Physics-Aware Deep Learning,Stephen Baek,TBA,TuTh,11:00 AM,12:15 PM
DS 6410,Advanced Machine Learning II: Methods & Application,Aiying Zhang,TBA,MoWe,09:30 AM,10:45 AM
DS 6425,Time Series Modeling,Don Brown,TBA,MoWe,02:00 PM,03:15 PM
DS 6700,"Value I: Data Ethics, Policy and Governance",Jess Reia,TBA,MoWe,03:30 PM,04:45 PM
DS 6993,Independent Study,Gianluca Guadagni,TBA,TBA,TBA,TBA
DS 6993,Independent Study,John Van Horn,TBA,TBA,TBA,TBA
DS 6993,Independent Study,Stephen Baek,TBA,TBA,TBA,TBA
DS 6993,Independent Study,Slava Krushkal,TBA,TBA,TBA,TBA
DS 6993,Independent Study,Mar Hicks,TBA,TBA,TBA,TBA
DS 6993,Independent Study,Tom Hartvigsen,TBA,TBA,TBA,TBA
DS 6993,Independent Study,Neal Magee,TBA,TBA,TBA,TBA
DS 6993,Independent Study,Sheng Li,TBA,TBA,TBA,TBA
DS 6993,Independent Study,Chirag Agarwal,TBA,TBA,TBA,TBA
DS 6993,Independent Study,Chirag Agarwal,TBA,TBA,TBA,TBA
DS 7600,Design I: Human-Centered Design,Nur Yildirim,TBA,TuTh,02:00 PM,03:15 PM
DS 8104,Network Science,Alex Gates,TBA,TuTh,03:30 PM,04:45 PM
DS 8998,Master's Level Thesis Research,Aaron Abrams,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Prince Afriyie,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,YY Ahn,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Loreto Alonzi,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Rafael Alvarado,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Stephen Baek,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Hannah Bako,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Peter Beling,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Jeffrey Blume,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Don Brown,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Jordan Bryan,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Tyler Cody,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Mai Dahshan,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Farhana Faruqe,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Judy Fox,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Alex Gates,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Daniel Graham,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Gianluca Guadagni,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Tom Hartvigsen,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Teague Henry,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Mar Hicks,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Terence Johnson,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Jonathan Kropko,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Natalie Kupperman,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Lei Li,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Sheng Li,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Neal Magee,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Paul Perrin,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Michael Porter,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Javier Rasero,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Jess Reia,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Heman Shakeri,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Karsten Siller,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Mona Sloane,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Thomas Stewart,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Adam Tashman,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Stephen Turner,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,John Van Horn,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Brian Wright,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Jianxin Xie,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Nur Yildirim,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,Aiying Zhang,TBA,TBA,TBA,TBA
DS 8998,Master's Level Thesis Research,David Danks,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Aaron Abrams,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Prince Afriyie,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Chirag Agarwal,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,YY Ahn,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Loreto Alonzi,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Rafael Alvarado,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Stephen Baek,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Hannah Bako,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Peter Beling,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Jeffrey Blume,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Don Brown,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Jordan Bryan,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Tyler Cody,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Mai Dahshan,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Farhana Faruqe,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Judy Fox,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Alex Gates,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Daniel Graham,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Gianluca Guadagni,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Teague Henry,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Mar Hicks,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Terence Johnson,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Jonathan Kropko,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Natalie Kupperman,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Lei Li,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Sheng Li,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Neal Magee,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Paul Perrin,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Michael Porter,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Javier Rasero,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Jess Reia,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Heman Shakeri,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Karsten Siller,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Mona Sloane,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Thomas Stewart,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Adam Tashman,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Stephen Turner,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,David Danks,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,John Van Horn,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Brian Wright,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Jianxin Xie,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Nur Yildirim,TBA,TBA,TBA,TBA
DS 9999,Dissertation Research,Aiying Zhang,TBA,TBA,TBA,TBA
